78
5.434782608695652E-4,	0.021739130434782608,	0.43478260869565216,	0.05
0.002932170390931191,	0.04777384260123252,	0.5206942433289982,	0.05
0.008306950349900678,	0.10749559917938974,	1.1944351315631443,	0.05
0.017862876831316515,	0.19111852962831669,	1.672458608978539,	0.05
0.03279596385908219,	0.2986617405553135,	2.1508642185399367,	0.05
0.05430379200841815,	0.43015656298671917,	2.629896448628113,	0.05
0.08358626906460803,	0.5856495411237975,	3.109859562741567,	0.05
0.12184654536593834,	0.7652055260266059,	3.5911196980561666,	0.05
0.17029207846630692,	0.9689106620073719,	4.07410271961532,	0.05
0.23013584534063294,	1.1968753374865204,	4.559293509582971,	0.05
0.30199860843022125,	1.4372552617917658,	4.807598486104907,	0.05
0.38590769662517554,	1.678181763899086,	4.818530042146403,	0.05
0.48189487023161004,	1.9197434721286901,	4.831234164592084,	0.05
0.5899961962901534,	2.1620265211708687,	4.845660980843571,	0.05
0.7102518536157056,	2.4051131465110434,	4.861732506803493,	0.05
0.8427058395912658,	2.6490797195112026,	4.8793314600031845,	0.05
0.987405550504603,	2.8939942182667435,	4.898289975110819,	0.05
1.1444011953549615,	3.139912897007172,	4.918373574808568,	0.05
1.313745001960017,	3.3868761321011087,	4.939264701878736,	0.05
1.4954901640837122,	3.634903242473902,	4.9605422074558625,	0.05
1.6896894789245949,	3.883986296817655,	4.981661086875064,	0.05
1.896393619452068,	4.134082810549465,	5.0019302746362015,	0.05
2.115648992508983,	4.385107461138301,	5.0204930117767255,	0.05
2.346884525276969,	4.6247106553597135,	4.7920638844282415,	0.05
2.588903544163,	4.8403803777206305,	4.313394447218339,	0.05
2.8404889669373996,	5.031708455487987,	3.82656155534713,	0.05
3.1004019716651534,	5.198260094555073,	3.3310327813417295,	0.05
3.3673817526709184,	5.339595620115305,	2.826710511204631,	0.05
3.640146542410795,	5.455295794797528,	2.3140034936444565,	0.05
3.917395987067873,	5.544988893141561,	1.7938619668806588,	0.05
4.197814841892676,	5.608377096496053,	1.2677640670898427,	0.05
4.480077809394216,	5.645259350030815,	0.7376450706952475,	0.05
4.762855207566025,	5.655547963436169,	0.20577226810708282,	0.05
5.045433016659671,	5.651556181872917,	-0.07983563126504833,	0.05
5.327715194758697,	5.645643561980509,	-0.11825239784815977,	0.05
5.60961037894101,	5.63790368364626,	-0.15479756668497657,	0.05
5.891033325666959,	5.628458934518977,	-0.18889498254566206,	0.05
6.171906094727994,	5.6174553812207,	-0.22007106596554138,	0.05
6.45215894379711,	5.605056981382305,	-0.24796799676790826,	0.05
6.731730920981676,	5.591439543691322,	-0.27234875381966006,	0.05
7.010570161657207,	5.576784813510628,	-0.29309460361387707,	0.05
7.288633911734645,	5.56127500154875,	-0.310196239237559,	0.05
7.565888311434962,	5.545087994006351,	-0.323740150847982,	0.05
7.842307981142302,	5.5283933941468,	-0.3338919971910137,	0.05
8.117702767123346,	5.507895719620866,	-0.4099534905186708,	0.05
8.39129569574747,	5.471858572482483,	-0.7207429427676715,	0.05
8.661903169829761,	5.4121494816458435,	-1.1941818167327867,	0.05
8.928361888025927,	5.329174363923306,	-1.6595023544507548,	0.05
9.189527175400702,	5.223305747495493,	-2.1173723285562573,	0.05
9.444270937455478,	5.094875241095511,	-2.5686101279996443,	0.05
9.691479392540144,	4.944169101693304,	-3.0141227880441335,	0.05
9.930050714743771,	4.771426444072547,	-3.454853152415147,	0.05
10.158892689133232,	4.576839487789208,	-3.8917391256667777,	0.05
10.376920451650085,	4.3605552503370655,	-4.325684749042846,	0.05
10.583222328756424,	4.126037542126784,	-4.690354164205637,	0.05
10.77746914020246,	3.884936228920696,	-4.822026264121755,	0.05
10.959740010703605,	3.645417410022924,	-4.790376377955434,	0.05
11.130106995960471,	3.4073397051373346,	-4.761554097711791,	0.05
11.28863543202085,	3.1705687212075766,	-4.735419678595161,	0.05
11.435384310847894,	2.9349775765408905,	-4.711822893333721,	0.05
11.570406659584608,	2.700446974734282,	-4.690612036132169,	0.05
11.693749910111526,	2.4668650105383847,	-4.671639283917948,	0.05
11.805456247806564,	2.234126753900761,	-4.65476513275247,	0.05
11.90556293527186,	2.0021337493058997,	-4.63986009189723,	0.05
11.994102605693831,	1.7707934084394412,	-4.62680681732917,	0.05
12.071103525420703,	1.5400183945374413,	-4.615500278039999,	0.05
12.13658982441651,	1.309725979916116,	-4.605848292426504,	0.05
12.190747097911311,	1.0831454698960241,	-4.531610200401839,	0.05
12.234329580978214,	0.8716496613380421,	-4.22991617115964,	0.05
12.268494336476577,	0.6832951099672507,	-3.7670910274158276,	0.05
12.29439446460168,	0.5180025625020788,	-3.3058509493034394,	0.05
12.313180046212835,	0.3757116322231102,	-2.845818605579371,	0.05
12.325998940614587,	0.25637788803503947,	-2.386674883761415,	0.05
12.33399744869342,	0.15997016157665045,	-1.9281545291677804,	0.05
12.33832085186281,	0.08646806338777856,	-1.4700419637774378,	0.05
12.340113831807631,	0.03585959889645606,	-1.0121692898264498,	0.05
12.340520775088187,	0.008138865611117372,	-0.5544146657067737,	0.05
12.340520775088187,	0.0,	-0.16277731222234743,	0.05
